"Key","Item Type","Publication Year","Author","Title","Publication Title","ISBN","ISSN","DOI","Url","Abstract Note","Date","Date Added","Date Modified","Access Date","Pages","Num Pages","Issue","Volume","Number Of Volumes","Journal Abbreviation","Short Title","Series","Series Number","Series Text","Series Title","Publisher","Place","Language","Rights","Type","Archive","Archive Location","Library Catalog","Call Number","Extra","Notes","File Attachments","Link Attachments","Manual Tags","Automatic Tags","Editor","Series Editor","Translator","Contributor","Attorney Agent","Book Author","Cast Member","Commenter","Composer","Cosponsor","Counsel","Interviewer","Producer","Recipient","Reviewed Author","Scriptwriter","Words By","Guest","Number","Edition","Running Time","Scale","Medium","Artwork Size","Filing Date","Application Number","Assignee","Issuing Authority","Country","Meeting Name","Conference Name","Court","References","Reporter","Legal Status","Priority Numbers","Programming Language","Version","System","Code","Code Number","Section","Session","Committee","History","Legislative Body"
"RAF8QEE3","journalArticle","2007","Jacobson, K; Mouritsen, OG; Anderson, RG","Lipid rafts: at a crossroad between cell biology and physics.","Nat Cell Biol","","1465-7392","ncb0107-7 [pii] 10.1038/ncb0107-7","http://www.ncbi.nlm.nih.gov/entrez/query.fcgi?cmd=Retrieve&db=PubMed&dopt=Citation&list_uids=17199125","","2007","2017-05-05 17:11:00","2017-06-21 01:25:44","","7-14","","1","9","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"B3F4EKQ9","journalArticle","2009","Lingwood, D; Kaiser, H J; Levental, I; Simons, K","Lipid rafts as functional heterogeneity in cell membranes","Biochem Soc Trans","","0300-5127","DOI 10.1042/BST0370955","","","2009","2017-05-05 17:11:02","2017-06-21 01:25:38","","955-960","","5","37","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"P9HNQRNG","journalArticle","2004","Glebov, O. O.; Nichols, B. J.","Lipid raft proteins have a random distribution during localized activation of the T-cell receptor","Nat Cell Biol","","1465-7392","ncb1103 [pii] 10.1038/ncb1103","http://www.ncbi.nlm.nih.gov/pubmed/14767481","","2004","2017-05-05 17:10:59","2017-06-21 01:25:27","","238-43","","3","6","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"VWZ9JCJ9","journalArticle","2011","Mikhalyov, I.; Samsonov, A.","Lipid raft detecting in membranes of live erythrocytes","Biochim Biophys Acta","","0006-3002","S0005-2736(11)00105-2 [pii] 10.1016/j.bbamem.2011.04.002","http://www.ncbi.nlm.nih.gov/pubmed/21510918","","2011","2017-05-05 17:11:03","2017-06-21 01:25:24","","1930-9","","7","1808","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"TNHTWZ7I","journalArticle","2011","Casadei, BR; Martins, J; Carvalho, PDO; Domingues, CC; de Paula, E","Lipid distribution in detergent-resistant membranes from human erythrocytes","Chem Phys Lip","","0009-3084","10.1016/j.chemphyslip.2011.05.127","","","2011","2017-05-05 17:10:55","2017-06-21 01:25:22","","S42-S42","","","164","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"MIVA9TDC","journalArticle","1997","Heerklotz, H; Binder, H; Lantzsch, G; Klose, G; Blume, A","Lipid/detergent interaction thermodynamics as a function of molecular shape","J Phys Chem","","1089-5647","","","","1997","2017-05-05 17:10:59","2017-06-21 01:25:19","","639-645","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"NFIT9CCR","journalArticle","2000","Moffett, S; Brown, DA; Linder, ME","Lipid-dependent targeting of G proteins into rafts","Journal of Biological Chemistry","","0021-9258","","","","2000","2017-05-05 17:11:03","2017-06-21 01:25:12","","2191-2198","","3","275","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"R9D449PV","journalArticle","2012","Ahyayauch, H.; Collado, M. I.; Alonso, A.; Goñi, F. M.","Lipid bilayers in the gel phase become saturated by triton X-100 at lower surfactant concentrations than those in the fluid phase","Biophys. J.","","1542-0086","10.1016/j.bpj.2012.04.041","http://www.ncbi.nlm.nih.gov/pubmed/22713566","","2012","2017-05-05 17:10:52","2017-06-21 01:25:09","","2510-6","","11","102","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"MEEE943A","journalArticle","2010","Mahammad, S; Dinic, J; Adler, J; Parmryd, I","Limited cholesterol depletion causes aggregation of plasma membrane lipid rafts inducing T cell activation.","Biochim Biophys Acta","","0006-3002","S1388-1981(10)00029-6 [pii] 10.1016/j.bbalip.2010.02.003","http://www.ncbi.nlm.nih.gov/entrez/query.fcgi?cmd=Retrieve&db=PubMed&dopt=Citation&list_uids=20153839","","2010","2017-05-05 17:11:02","2017-06-21 01:25:06","","625-34","","6","1801","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"9V535QK2","journalArticle","2007","Baumgart, T.; Hammond, A. T.; Sengupta, P.; Hess, S. T.; Holowka, D. A.; Baird, B. A.; Webb, W. W.","Large-scale fluid/fluid phase separation of proteins and lipids in giant plasma membrane vesicles","Proc Natl Acad Sci U S A","","0027-8424","10.1073/pnas.0611357104","http://www.ncbi.nlm.nih.gov/pubmed/17360623","","2007","2017-05-05 17:10:52","2017-06-21 01:25:04","","3165-70","","9","104","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"I6VF7WGK","journalArticle","2013","Bagatolli, L. A.; Mouritsen, O. G.","Is the fluid mosaic (and the accompanying raft hypothesis) a suitable model to describe fundamental features of biological membranes? What may be missing?","Front Plant Sci","","1664-462X","10.3389/fpls.2013.00457","http://www.ncbi.nlm.nih.gov/pubmed/24312108","","2013","2017-05-05 17:10:52","2017-06-21 01:25:01","","457","","","4","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"5VGMF9PM","journalArticle","2011","Morris, R. J.; Jen, A.; Warley, A.","Isolation of nano-meso scale detergent resistant membrane that has properties expected of lipid 'rafts'","J Neurochem","","1471-4159","10.1111/j.1471-4159.2010.07076.x","http://www.ncbi.nlm.nih.gov/pubmed/21214574","","2011","2017-05-05 17:11:03","2017-06-21 01:24:55","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"ZRUGZ8W7","journalArticle","2011","Cayrol, R.; Haqqani, A. S.; Ifergan, I.; Dodelet-Devillers, A.; Prat, A.","Isolation of human brain endothelial cells and characterization of lipid raft-associated proteins by mass spectroscopy","Methods Mol Biol","","1940-6029","10.1007/978-1-60761-938-3_13","http://www.ncbi.nlm.nih.gov/pubmed/21082377","","2011","2017-05-05 17:10:55","2017-06-21 01:24:53","","275-95","","","686","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"EA3RVRU9","journalArticle","2009","Chen, X; Jen, A; Warley, A; Lawrence, M J; Quinn, P J; Morris, R J","Isolation at physiological temperature of detergent-resistant membranes with properties expected of lipid rafts: the influence of buffer composition","Biochem J","","1470-8728","BJ20081385 [pii] 10.1042/BJ20081385","http://www.ncbi.nlm.nih.gov/entrez/query.fcgi?cmd=Retrieve&db=PubMed&dopt=Citation&list_uids=18831713","","2009","2017-05-05 17:10:55","2017-06-21 01:24:50","","525-33","","2","417","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"73DPK53A","journalArticle","2004","Radeva, G; Sharom, FJ","Isolation and characterization of lipid rafts with different properties from RBL-2H3 (rat basophilic leukaemia) cells","Biochemical Journal","","0264-6021","DOI 10.1042/BJ20031348","","","2004","2017-05-05 17:11:05","2017-06-21 01:24:48","","219-230","","","380","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"EA27GKS9","journalArticle","2010","Gylfason, GA; Knútsdóttir, E; Asgeirsson, B","Isolation and biochemical characterisation of lipid rafts from Atlantic cod (Gadus morhua) intestinal enterocytes","Comp Biochem Physiol B Biochem Mol Biol","","1879-1107","S1096-4959(09)00258-9 [pii] 10.1016/j.cbpb.2009.10.006","http://www.ncbi.nlm.nih.gov/entrez/query.fcgi?cmd=Retrieve&db=PubMed&dopt=Citation&list_uids=19854289","","2010","2017-05-05 17:10:59","2017-06-21 01:24:46","","86-95","","1","155","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"23EDG7U2","journalArticle","2009","Motoyama, K; Toyodome, H; Onodera, R; Irie, T; Hirayama, F; Uekama, K; Arima, H","Involvement of lipid rafts of rabbit red blood cells in morphological changes induced by methylated beta-cyclodextrins.","Biol Pharm Bull","","0918-6158","JST.JSTAGE/bpb/32.700 [pii]","http://www.ncbi.nlm.nih.gov/entrez/query.fcgi?cmd=Retrieve&db=PubMed&dopt=Citation&list_uids=19336908","","2009","2017-05-05 17:11:03","2017-06-21 01:24:44","","700-5","","4","32","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"3XJ2NVPN","journalArticle","2008","Heerklotz, H","Interactions of surfactants with lipid membranes.","Q Rev Biophys","","0033-5835","S0033583508004721 [pii] 10.1017/S0033583508004721","http://www.ncbi.nlm.nih.gov/entrez/query.fcgi?cmd=Retrieve&db=PubMed&dopt=Citation&list_uids=19079805","","2008","2017-05-05 17:10:59","2017-06-21 01:24:41","","205-64","","3-4","41","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"3V7P64HD","journalArticle","1990","Lasch, J.; Hoffmann, J.; Omelyanenko, W. G.; Klibanov, A. A.; Torchilin, V. P.; Binder, H.; Gawrisch, K.","Interaction of Triton X-100 and octyl glucoside with liposomal membranes at sublytic and lytic concentrations. Spectroscopic studies","Biochim Biophys Acta","","0006-3002","","http://www.ncbi.nlm.nih.gov/pubmed/2306453","","1990","2017-05-05 17:11:01","2017-06-21 01:24:39","","171-80","","2","1022","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"RC92II5R","journalArticle","2000","le Maire, M; Champeil, P; Moller, JV","Interaction of membrane proteins and lipids with solubilizing detergents.","Biochim Biophys Acta","","0006-3002","S0304-4157(00)00010-1 [pii]","http://www.ncbi.nlm.nih.gov/entrez/query.fcgi?cmd=Retrieve&db=PubMed&dopt=Citation&list_uids=11090820","","2000","2017-05-05 17:11:01","2017-06-21 01:24:37","","86-111","","1-2","1508","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"UQE6C976","journalArticle","1979","Sheetz, M. P.","Integral membrane protein interaction with Triton cytoskeletons of erythrocytes.","Biochim Biophys Acta","","0006-3002","","http://www.ncbi.nlm.nih.gov/pubmed/549630","","1979","2017-05-05 17:11:06","2017-06-21 01:24:33","","122-34","","1","557","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"C3PVX423","journalArticle","2011","Mrówczyńska, L.; Bobrowska-Hägerstrand, M.; Hägerstrand, H.; Lindqvist, C.","Increased sensitivity of cholera toxin B treated K562 cells to natural killer cells.","Cell Immunol","","1090-2163","S0008-8749(11)00067-0 [pii] 10.1016/j.cellimm.2011.03.019","http://www.ncbi.nlm.nih.gov/pubmed/21481337","","2011","2017-05-05 17:11:03","2017-06-21 01:24:24","","1-4","","1","269","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"BVZNV23A","journalArticle","1965","Rose, H.G.; Oklander, M.","Improved procedure for the extraction of lipids from human erythrocytes","J Lipid Res","","0022-2275","","http://www.ncbi.nlm.nih.gov/pubmed/14336214","","1965","2017-05-05 17:11:05","2017-06-21 01:24:21","","428-31","","","6","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"JWGKU6X6","journalArticle","2010","Bouvrais, H.; Pott, T.; Bagatolli, L. A.; Ipsen, J. H.; Méléard, P.","Impact of membrane-anchored fluorescent probes on the mechanical properties of lipid bilayers","Biochim Biophys Acta","","0006-3002","S0005-2736(10)00125-2 [pii] 10.1016/j.bbamem.2010.03.026","http://www.ncbi.nlm.nih.gov/pubmed/20398624","","2010","2017-05-05 17:10:54","2017-06-21 01:24:19","","1333-7","","7","1798","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"UCGRDFUT","journalArticle","2011","Ibarguren, M.; López, D. J.; Montes, L. R.; Sot, J.; Vasil, A. I.; Vasil, M. L.; Goñi, F. M.; Alonso, A.","Imaging the early stages of phospholipase C/sphingomyelinase activity on vesicles containing coexisting ordered-disordered and gel-fluid domains","J Lipid Res","","0022-2275","10.1194/jlr.M012591","http://www.ncbi.nlm.nih.gov/pubmed/21252263","","2011","2017-05-05 17:11:00","2017-06-21 01:24:17","","635-45","","4","52","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"PVJQNV36","journalArticle","2003","Baumgart, T.; Hess, S. T.; Webb, W. W.","Imaging coexisting fluid domains in biomembrane models coupling curvature and line tension","Nature","","1476-4687","10.1038/nature02013","http://www.ncbi.nlm.nih.gov/pubmed/14574408","","2003","2017-05-05 17:10:52","2017-06-21 01:24:15","","821-4","","6960","425","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"V8CZW835","journalArticle","2013","Heberle, F. A.; Doktorova, M.; Goh, S. L.; Standaert, R. F.; Katsaras, J.; Feigenson, G. W.","Hybrid and nonhybrid lipids exert common effects on membrane raft size and morphology","J Am Chem Soc","","1520-5126","10.1021/ja407624c","http://www.ncbi.nlm.nih.gov/pubmed/24041024","","2013","2017-05-05 17:10:59","2017-06-21 01:24:14","","14932-5","","40","135","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"GRTKF62Z","journalArticle","2002","Popik, W.; Alce, T. M.; Au, W. C.","Human immunodeficiency virus type 1 uses lipid raft-colocalized CD4 and chemokine receptors for productive entry into CD4(+) T cells.","J Virol","","0022-538X","","http://www.ncbi.nlm.nih.gov/pubmed/11967288","","2002","2017-05-05 17:11:04","2017-06-21 01:24:12","","4709-22","","10","76","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Z5JAXWZC","journalArticle","2011","Kusumi, A.; Suzuki, K. G.; Kasai, R. S.; Ritchie, K.; Fujiwara, T. K.","Hierarchical mesoscale domain organization of the plasma membrane","Trends Biochem Sci","","0968-0004","10.1016/j.tibs.2011.08.001","http://www.ncbi.nlm.nih.gov/pubmed/21917465","","2011","2017-05-05 17:11:01","2017-06-21 01:24:10","","604-15","","11","36","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"G72E22WZ","journalArticle","2006","Heerklotz, H; Tsamaloukas, A","Gradual change or phase transition: Characterizing fluid lipid-cholesterol membranes on the basis of thermal volume changes","Biophys J","","0006-3495","DOI 10.1529/biophysj.106.082669","","","2006","2017-05-05 17:10:59","2017-06-21 01:24:08","","600-607","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
